date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:03	118/118	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Feb%202017%2021:17:04%20GMT	http://bonvera.com/robots.txt		(from )
15:17:04	46530/46530	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202017%2021:17:03%20GMT	http://bonvera.com/	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/index.html	(from )
15:17:04	118/118	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Feb%202017%2021:17:03%20GMT	http://bonvera.com/False	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/False.0.delayed	(from http://bonvera.com/)
15:17:04	118/118	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Feb%202017%2021:17:04%20GMT	http://bonvera.com/30	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/30.1.delayed	(from http://bonvera.com/)
15:17:04	817/817	---M--	200	added ('OK')	image/x-icon	etag:%22645668ee33dd21:0%22	http://bonvera.com/favicon.ico	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/favicon.ico	(from http://bonvera.com/)
15:17:05	2674/2674	---M--	200	added ('OK')	image/png	etag:%22532f68ee33dd21:0%22	http://bonvera.com/apple-touch-icon.png	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/apple-touch-icon.png	(from http://bonvera.com/)
15:17:05	2674/2674	---M--	200	added ('OK')	image/png	etag:%2272e167ee33dd21:0%22	http://bonvera.com/apple-touch-icon-57x57.png	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/apple-touch-icon-57x57.png	(from http://bonvera.com/)
15:17:05	3333/3333	---M--	200	added ('OK')	image/png	etag:%2243868ee33dd21:0%22	http://bonvera.com/apple-touch-icon-72x72.png	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/apple-touch-icon-72x72.png	(from http://bonvera.com/)
15:17:05	5074/5074	---M--	200	added ('OK')	image/png	etag:%2266c67ee33dd21:0%22	http://bonvera.com/apple-touch-icon-114x114.png	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/apple-touch-icon-114x114.png	(from http://bonvera.com/)
15:17:06	6601/6601	---M--	200	added ('OK')	image/png	etag:%222d9367ee33dd21:0%22	http://bonvera.com/apple-touch-icon-144x144.png	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/apple-touch-icon-144x144.png	(from http://bonvera.com/)
15:17:06	122540/122540	---MCZ	200	added ('OK')	text/css	etag:W/%225d5357cb3704e1f43a1f5bfed2aebf42%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	(from http://bonvera.com/)
15:17:07	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://bonvera.com/)
15:17:07	5993/5993	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:08:22%20GMT	http://cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.2/toastr.min.css	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.2/toastr.min.css	(from http://bonvera.com/)
15:17:08	178687/178687	---M-Z	200	added ('OK')	text/css	etag:%2256afc2be247bd21:0%22	http://bonvera.com/Content/styles/site.min.css	C:/xampp/htdocs/ideaProjects/bonvera/bonvera_mirror/bonvera_mirror/bonvera.com/Content/styles/site.min.css	(from http://bonvera.com/)
